Area,Consumption Segment,Country,Measure Names,"Sector, Category or Product",Measure Values
National,Higher,Afghanistan,US$,"Coffee, Tea and Cocoa",0.066559263
National,Higher,Afghanistan,$PPP,"Coffee, Tea and Cocoa",0.146956172
National,Higher,Afghanistan,Local Currency,"Coffee, Tea and Cocoa",3.091810892
National,Middle,Afghanistan,US$,"Coffee, Tea and Cocoa",7.231678051
National,Middle,Afghanistan,$PPP,"Coffee, Tea and Cocoa",15.96681918
National,Middle,Afghanistan,Local Currency,"Coffee, Tea and Cocoa",335.9259088
National,Low,Afghanistan,US$,"Coffee, Tea and Cocoa",142.0471396
National,Low,Afghanistan,$PPP,"Coffee, Tea and Cocoa",313.6258248
National,Low,Afghanistan,Local Currency,"Coffee, Tea and Cocoa",6598.373728
National,Lowest,Afghanistan,US$,"Coffee, Tea and Cocoa",128.539412
National,Lowest,Afghanistan,$PPP,"Coffee, Tea and Cocoa",283.8021183
National,Lowest,Afghanistan,Local Currency,"Coffee, Tea and Cocoa",5970.912766
National,All,Afghanistan,US$,"Coffee, Tea and Cocoa",277.8847888
National,All,Afghanistan,$PPP,"Coffee, Tea and Cocoa",613.5417183
National,All,Afghanistan,Local Currency,"Coffee, Tea and Cocoa",12908.30421
Rural,Higher,Afghanistan,US$,"Coffee, Tea and Cocoa",0
Rural,Higher,Afghanistan,$PPP,"Coffee, Tea and Cocoa",0
Rural,Higher,Afghanistan,Local Currency,"Coffee, Tea and Cocoa",0
Rural,Middle,Afghanistan,US$,"Coffee, Tea and Cocoa",0.997447533
Rural,Middle,Afghanistan,$PPP,"Coffee, Tea and Cocoa",2.202264024
Rural,Middle,Afghanistan,Local Currency,"Coffee, Tea and Cocoa",46.3334328
Rural,Low,Afghanistan,US$,"Coffee, Tea and Cocoa",100.229186
Rural,Low,Afghanistan,$PPP,"Coffee, Tea and Cocoa",221.2959813
Rural,Low,Afghanistan,Local Currency,"Coffee, Tea and Cocoa",4655.84615
Rural,Lowest,Afghanistan,US$,"Coffee, Tea and Cocoa",120.1105917
Rural,Lowest,Afghanistan,$PPP,"Coffee, Tea and Cocoa",265.1921292
Rural,Lowest,Afghanistan,Local Currency,"Coffee, Tea and Cocoa",5579.377207
Rural,All,Afghanistan,US$,"Coffee, Tea and Cocoa",221.3372253
Rural,All,Afghanistan,$PPP,"Coffee, Tea and Cocoa",488.6903744
Rural,All,Afghanistan,Local Currency,"Coffee, Tea and Cocoa",10281.55679
Urban,Higher,Afghanistan,US$,"Coffee, Tea and Cocoa",0.066559263
Urban,Higher,Afghanistan,$PPP,"Coffee, Tea and Cocoa",0.146956172
Urban,Higher,Afghanistan,Local Currency,"Coffee, Tea and Cocoa",3.091810892
