Country_Name,Market_Year,Arabica Production,Bean Exports,Bean Imports,Beginning Stocks,Domestic Consumption,Ending Stocks,Exports,Imports,Other Production,Production,Roast & Ground Exports,Roast & Ground Imports,Robusta Production,"Rst,Ground Dom. Consum",Soluble Dom. Cons.,Soluble Exports,Soluble Imports,Total Distribution,Total Supply
Algeria,2003,0,0,1800,0,1805,0,0,1805,0,0,0,0,0,1800,5,0,5,1805,1805
Algeria,2004,0,0,1960,0,1970,0,0,1970,0,0,0,0,0,1960,10,0,10,1970,1970
Algeria,2005,0,0,1920,0,1930,0,0,1930,0,0,0,0,0,1920,10,0,10,1930,1930
Algeria,2006,0,0,2075,0,2085,0,0,2085,0,0,0,0,0,2075,10,0,10,2085,2085
Algeria,2007,0,0,1825,0,1840,0,0,1840,0,0,0,0,0,1825,15,0,15,1840,1840
Algeria,2008,0,0,2025,0,2050,0,0,2050,0,0,0,0,0,2025,25,0,25,2050,2050
Algeria,2009,0,0,2045,0,2070,0,0,2070,0,0,0,0,0,2045,25,0,25,2070,2070
Algeria,2010,0,0,2060,0,2080,0,0,2080,0,0,0,0,0,2060,20,0,20,2080,2080
Algeria,2011,0,0,1770,0,1815,0,0,1815,0,0,0,0,0,1770,45,0,45,1815,1815
Algeria,2012,0,0,2240,0,2270,0,0,2270,0,0,0,0,0,2240,30,0,30,2270,2270
Algeria,2013,0,0,1915,0,1945,0,0,1945,0,0,0,0,0,1915,30,0,30,1945,1945
Algeria,2014,0,0,2265,0,2300,0,0,2300,0,0,0,0,0,2275,25,0,35,2300,2300
Algeria,2015,0,0,2165,0,2195,0,0,2195,0,0,0,0,0,2165,30,0,30,2195,2195
Algeria,2016,0,0,2275,0,2320,0,0,2320,0,0,0,0,0,2275,45,0,45,2320,2320
Algeria,2017,0,0,2165,0,2205,0,0,2205,0,0,0,0,0,2165,40,0,40,2205,2205
Algeria,2018,0,0,2270,0,2300,0,0,2300,0,0,0,0,0,2270,30,0,30,2300,2300
Algeria,2019,0,0,2300,0,2340,0,0,2340,0,0,0,0,0,2300,40,0,40,2340,2340
Algeria,2020,0,0,2400,0,2440,0,0,2440,0,0,0,0,0,2400,40,0,40,2440,2440
Angola,1961,50,1582,0,817,60,1675,1582,0,0,2500,0,0,2450,60,0,0,0,3317,3317
Angola,1962,56,1950,0,1675,63,2462,1950,0,0,2800,0,0,2744,63,0,0,0,4475,4475
Angola,1963,50,2614,0,2462,64,2284,2614,0,0,2500,0,0,2450,64,0,0,0,4962,4962
Angola,1964,54,2434,0,2284,67,2474,2434,0,0,2691,0,0,2637,67,0,0,0,4975,4975
Angola,1965,50,2305,0,2474,70,2586,2305,0,0,2487,0,0,2437,70,0,0,0,4961,4961
Angola,1966,61,2696,0,2586,72,2875,2696,0,0,3057,0,0,2996,72,0,0,0,5643,5643
Angola,1967,74,2599,0,2875,75,3892,2599,0,0,3691,0,0,3617,75,0,0,0,6566,6566
Angola,1968,69,3432,0,3892,78,3840,3432,0,0,3458,0,0,3389,78,0,0,0,7350,7350
Angola,1969,70,3199,0,3840,81,4085,3199,0,0,3525,0,0,3455,81,0,0,0,7365,7365
Angola,1970,67,2976,0,4085,85,4392,2976,0,0,3368,0,0,3301,85,0,0,0,7453,7453
Angola,1971,56,3016,0,4392,89,4081,3016,0,0,2794,0,0,2738,89,0,0,0,7186,7186
Angola,1972,78,3019,0,4081,92,4850,3019,0,0,3880,0,0,3802,92,0,0,0,7961,7961
Angola,1973,79,3097,0,4850,97,5719,3097,0,0,4063,0,0,3984,97,0,0,0,8913,8913
Angola,1974,71,4135,0,5719,89,5042,4135,0,0,3547,0,0,3476,89,0,0,0,9266,9266
Angola,1975,69,2961,0,5042,73,5200,2961,0,0,3192,0,0,3123,73,0,0,0,8234,8234
Angola,1976,24,2600,0,5200,60,3640,2600,0,0,1100,0,0,1076,60,0,0,0,6300,6300
Angola,1977,22,1123,0,3640,52,3476,1123,0,0,1011,0,0,989,52,0,0,0,4651,4651
Angola,1978,30,963,0,3476,48,3385,963,0,0,920,0,0,890,48,0,0,0,4396,4396
Angola,1979,25,1245,0,3385,45,2708,1245,0,0,613,0,0,588,45,0,0,0,3998,3998
Angola,1980,20,1012,0,2708,40,1916,1012,0,0,260,0,0,240,40,0,0,0,2968,2968
Angola,1981,30,661,0,1916,41,1800,661,0,0,586,0,0,556,41,0,0,0,2502,2502
Angola,1982,20,850,0,1800,42,1300,850,0,0,392,0,0,372,42,0,0,0,2192,2192
Angola,1983,20,620,0,1300,43,967,620,0,0,330,0,0,310,43,0,0,0,1630,1630
Angola,1984,20,440,0,967,44,743,440,0,0,260,0,0,240,44,0,0,0,1227,1227
Angola,1985,20,340,0,743,45,588,340,0,0,230,0,0,210,45,0,0,0,973,973
Angola,1986,20,362,0,588,46,430,362,0,0,250,0,0,230,46,0,0,0,838,838
Angola,1987,20,277,0,430,293,110,277,0,0,250,0,0,230,293,0,0,0,680,680
Angola,1988,20,205,0,110,45,130,205,0,0,270,0,0,250,45,0,0,0,380,380
Angola,1989,15,129,0,130,43,158,129,0,0,200,0,0,185,43,0,0,0,330,330
Angola,1990,10,97,0,158,45,186,97,0,0,170,0,0,160,45,0,0,0,328,328
Angola,1991,20,80,0,186,45,161,80,0,0,100,0,0,80,45,0,0,0,286,286
Angola,1992,20,74,0,161,51,116,74,0,0,80,0,0,60,51,0,0,0,241,241
Angola,1993,0,68,0,116,59,69,68,0,0,80,0,0,80,59,0,0,0,196,196
Angola,1994,0,28,0,69,27,47,28,0,0,33,0,0,33,27,0,0,0,102,102
Angola,1995,0,12,0,47,74,61,12,0,0,100,0,0,100,74,0,0,0,147,147
Angola,1996,0,48,0,61,52,23,48,0,0,62,0,0,62,52,0,0,0,123,123
Angola,1997,0,51,0,23,38,5,51,0,0,71,0,0,71,38,0,0,0,94,94
Angola,1998,0,54,0,5,10,5,54,0,0,64,0,0,64,10,0,0,0,69,69
Angola,1999,0,55,0,5,25,10,55,0,0,85,0,0,85,25,0,0,0,90,90
Angola,2000,0,40,0,10,20,5,40,0,0,55,0,0,55,20,0,0,0,65,65
Angola,2001,0,20,0,5,20,15,20,0,0,50,0,0,50,20,0,0,0,55,55
Angola,2002,0,11,0,15,20,5,11,0,0,21,0,0,21,20,0,0,0,36,36
Angola,2003,0,12,0,5,20,30,12,0,0,57,0,0,57,20,0,0,0,62,62
Angola,2004,0,13,0,30,15,40,13,0,0,38,0,0,38,15,0,0,0,68,68
Angola,2005,0,5,0,40,20,30,5,0,0,15,0,0,15,20,0,0,0,55,55
Angola,2006,0,5,0,30,25,25,5,0,0,25,0,0,25,25,0,0,0,55,55
Angola,2007,0,5,0,25,25,30,5,0,0,35,0,0,35,25,0,0,0,60,60
Angola,2008,0,4,0,30,31,25,4,0,0,30,0,0,30,31,0,0,0,60,60
Angola,2009,0,4,0,25,31,20,4,0,0,30,0,0,30,31,0,0,0,55,55
Angola,2010,0,8,0,20,31,11,8,0,0,30,0,0,30,31,0,0,0,50,50
Angola,2011,0,5,0,11,26,5,5,0,0,25,0,0,25,26,0,0,0,36,36
Angola,2012,0,8,0,5,30,2,8,0,0,35,0,0,35,30,0,0,0,40,40
Angola,2013,0,8,0,2,22,1,8,0,0,29,0,0,29,22,0,0,0,31,31
Angola,2014,0,5,0,1,27,0,5,0,0,31,0,0,31,27,0,0,0,32,32
Angola,2015,0,6,0,0,24,0,6,0,0,30,0,0,30,24,0,0,0,30,30
Angola,2016,0,12,0,0,13,0,12,0,0,25,0,0,25,13,0,0,0,25,25
Angola,2017,0,6,0,0,14,0,6,0,0,20,0,0,20,14,0,0,0,20,20
Angola,2018,0,6,0,0,13,0,6,0,0,19,0,0,19,13,0,0,0,19,19
Angola,2019,0,7,0,0,13,0,7,0,0,20,0,0,20,13,0,0,0,20,20
Angola,2020,0,7,0,0,13,0,7,0,0,20,0,0,20,13,0,0,0,20,20
Argentina,2003,0,0,490,0,591,0,0,591,0,0,0,1,0,491,100,0,100,591,591
Argentina,2004,0,0,510,0,672,0,0,672,0,0,0,2,0,512,160,0,160,672,672
Argentina,2005,0,0,500,0,666,0,0,666,0,0,0,1,0,501,165,0,165,666,666
Argentina,2006,0,0,490,0,661,0,0,661,0,0,0,1,0,491,170,0,170,661,661
Argentina,2007,0,0,510,0,686,0,0,686,0,0,0,1,0,511,175,0,175,686,686
Argentina,2008,0,0,490,0,700,0,0,700,0,0,0,10,0,500,200,0,200,700,700
Argentina,2009,0,0,480,0,685,0,0,685,0,0,0,5,0,485,200,0,200,685,685
Argentina,2010,0,0,500,0,745,0,0,745,0,0,0,5,0,505,240,0,240,745,745
Argentina,2011,0,0,510,0,810,0,0,810,0,0,0,10,0,520,290,0,290,810,810
Argentina,2012,0,0,500,0,750,0,0,750,0,0,0,10,0,510,240,0,240,750,750
Argentina,2013,0,0,565,0,835,0,0,835,0,0,0,10,0,575,260,0,260,835,835
Argentina,2014,0,0,415,0,685,0,0,685,0,0,0,10,0,430,255,0,260,685,685
Argentina,2015,0,0,450,0,710,0,0,710,0,0,0,10,0,460,250,0,250,710,710
Argentina,2016,0,0,460,0,741,0,0,741,0,0,0,16,0,476,265,0,265,741,741
Argentina,2017,0,0,490,0,754,0,0,754,0,0,0,19,0,509,245,0,245,754,754
Argentina,2018,0,0,450,0,775,0,0,775,0,0,0,25,0,475,300,0,300,775,775
Argentina,2019,0,0,450,0,735,0,0,735,0,0,0,25,0,475,260,0,260,735,735
Argentina,2020,0,0,450,0,750,0,0,750,0,0,0,25,0,475,275,0,275,750,750
Australia,2003,0,0,670,0,855,0,0,855,0,0,0,40,0,710,145,0,145,855,855
Australia,2004,0,0,735,0,915,0,0,915,0,0,0,35,0,770,145,0,145,915,915
Australia,2005,0,0,790,0,1010,0,0,1010,0,0,0,50,0,840,170,0,170,1010,1010
Australia,2006,0,0,830,0,1130,0,0,1130,0,0,0,50,0,880,250,0,250,1130,1130
Australia,2007,0,0,885,0,1145,0,0,1145,0,0,0,70,0,955,190,0,190,1145,1145
Australia,2008,0,0,910,0,1245,0,0,1245,0,0,0,75,0,985,260,0,260,1245,1245
Australia,2009,0,0,950,0,1340,0,0,1340,0,0,0,115,0,1065,275,0,275,1340,1340
Australia,2010,0,0,1035,0,1395,0,0,1395,0,0,0,70,0,1105,290,0,290,1395,1395
Australia,2011,0,0,1110,0,1445,0,0,1445,0,0,0,60,0,1170,275,0,275,1445,1445
Australia,2012,0,0,1135,0,1600,0,0,1600,0,0,0,155,0,1290,310,0,310,1600,1600
Australia,2013,0,0,1180,0,1660,0,0,1660,0,0,0,170,0,1350,310,0,310,1660,1660
Australia,2014,0,0,1185,0,1615,0,0,1615,0,0,0,180,0,1365,250,0,250,1615,1615
Australia,2015,0,0,1310,0,1775,0,0,1775,0,0,0,190,0,1500,275,0,275,1775,1775
Australia,2016,0,0,1425,0,1785,0,0,1785,0,0,0,155,0,1580,205,0,205,1785,1785
Australia,2017,0,0,1415,0,1730,0,0,1730,0,0,0,190,0,1605,125,0,125,1730,1730
Australia,2018,0,0,1540,0,1900,0,0,1900,0,0,0,160,0,1700,200,0,200,1900,1900
Australia,2019,0,0,1610,0,2040,0,0,2040,0,0,0,165,0,1775,265,0,265,2040,2040
Australia,2020,0,0,1600,0,1965,0,0,1965,0,0,0,165,0,1765,200,0,200,1965,1965
Benin,1961,0,35,0,0,1,0,35,0,0,36,0,0,36,1,0,0,0,36,36
Benin,1962,0,29,0,0,1,0,29,0,0,30,0,0,30,1,0,0,0,30,30
Benin,1963,0,17,0,0,1,0,17,0,0,18,0,0,18,1,0,0,0,18,18
Benin,1964,0,19,0,0,1,0,19,0,0,20,0,0,20,1,0,0,0,20,20
Benin,1965,0,11,0,0,1,0,11,0,0,12,0,0,12,1,0,0,0,12,12
Benin,1966,0,10,0,0,1,0,10,0,0,11,0,0,11,1,0,0,0,11,11
Benin,1967,0,17,0,0,1,0,17,0,0,18,0,0,18,1,0,0,0,18,18
Benin,1968,0,6,0,0,1,0,6,0,0,7,0,0,7,1,0,0,0,7,7
Benin,1969,0,27,0,0,1,0,27,0,0,28,0,0,28,1,0,0,0,28,28
Benin,1970,0,8,0,0,1,0,8,0,0,9,0,0,9,1,0,0,0,9,9
Benin,1971,0,14,0,0,1,6,14,0,0,21,0,0,21,1,0,0,0,21,21
Benin,1972,0,42,0,6,1,6,42,0,0,43,0,0,43,1,0,0,0,49,49
Benin,1973,0,8,0,6,1,6,8,0,0,9,0,0,9,1,0,0,0,15,15
Benin,1974,0,22,0,6,1,6,22,0,0,23,0,0,23,1,0,0,0,29,29
Benin,1975,0,48,0,6,1,6,48,0,0,49,0,0,49,1,0,0,0,55,55
Benin,1976,0,24,0,6,1,0,24,0,0,19,0,0,19,1,0,0,0,25,25
Benin,1977,0,16,0,0,1,0,16,0,0,17,0,0,17,1,0,0,0,17,17
Benin,1978,0,2,0,0,1,0,2,0,0,3,0,0,3,1,0,0,0,3,3
Benin,1979,0,2,0,0,1,0,2,0,0,3,0,0,3,1,0,0,0,3,3
Benin,1980,0,4,0,0,1,0,4,0,0,5,0,0,5,1,0,0,0,5,5
Benin,1981,0,35,0,0,1,0,35,0,0,36,0,0,36,1,0,0,0,36,36
Benin,1982,0,36,0,0,1,0,36,0,0,37,0,0,37,1,0,0,0,37,37
Benin,1983,0,49,0,0,1,0,49,0,0,50,0,0,50,1,0,0,0,50,50
Benin,1984,0,54,0,0,1,0,54,0,0,55,0,0,55,1,0,0,0,55,55
Benin,1985,0,54,0,0,1,0,54,0,0,55,0,0,55,1,0,0,0,55,55
Benin,1986,0,24,0,0,1,0,24,0,0,25,0,0,25,1,0,0,0,25,25
